Model,TP,FP,TN,FN,Accuracy,TPR,TNR,F1[0],F1[1]
RandomForestClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
RandomForestClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
BalancedRandomForestClassifier,81,14,19,1,0.8695652173913043,0.9878048780487805,0.5757575757575758,0.7169811320754716,0.9152542372881356
RandomForestClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
BalancedRandomForestClassifier,81,14,19,1,0.8695652173913043,0.9878048780487805,0.5757575757575758,0.7169811320754716,0.9152542372881356
KNeighborsClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
RandomForestClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
BalancedRandomForestClassifier,81,14,19,1,0.8695652173913043,0.9878048780487805,0.5757575757575758,0.7169811320754716,0.9152542372881356
KNeighborsClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
LogisticRegression,80,15,18,2,0.8521739130434782,0.975609756097561,0.5454545454545454,0.6792452830188679,0.903954802259887
RandomForestClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
BalancedRandomForestClassifier,81,14,19,1,0.8695652173913043,0.9878048780487805,0.5757575757575758,0.7169811320754716,0.9152542372881356
KNeighborsClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
LogisticRegression,80,15,18,2,0.8521739130434782,0.975609756097561,0.5454545454545454,0.6792452830188679,0.903954802259887
LinearSVC,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
RandomForestClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
BalancedRandomForestClassifier,81,14,19,1,0.8695652173913043,0.9878048780487805,0.5757575757575758,0.7169811320754716,0.9152542372881356
KNeighborsClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
LogisticRegression,80,15,18,2,0.8521739130434782,0.975609756097561,0.5454545454545454,0.6792452830188679,0.903954802259887
LinearSVC,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
VotingClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
RandomForestClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
BalancedRandomForestClassifier,81,14,19,1,0.8695652173913043,0.9878048780487805,0.5757575757575758,0.7169811320754716,0.9152542372881356
KNeighborsClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
LogisticRegression,80,15,18,2,0.8521739130434782,0.975609756097561,0.5454545454545454,0.6792452830188679,0.903954802259887
LinearSVC,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
VotingClassifier,81,15,18,1,0.8608695652173913,0.9878048780487805,0.5454545454545454,0.6923076923076923,0.9101123595505618
DecisionTreeClassifier,66,7,26,16,0.8,0.8048780487804879,0.7878787878787878,0.6933333333333334,0.8516129032258064
